City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,11.25,63,90,1.9,ZA,2024-10-01 03:00:00
1,margaret river,-33.95,115.0667,17.44,74,92,2.59,AU,2024-10-01 03:00:00
2,pagar alam,-4.0167,103.2667,28.9,76,50,1.68,ID,2024-10-01 03:00:00
3,adamstown,-25.066,-130.1015,19.48,66,87,5.36,PN,2024-10-01 03:00:00
4,papatowai,-46.5619,169.4708,15.63,45,98,4.15,NZ,2024-10-01 03:00:00
5,port alfred,-33.5906,26.891,12.22,69,68,11.81,ZA,2024-10-01 03:00:00
6,saint-pierre,-21.3393,55.4781,22.43,63,0,3.79,RE,2024-10-01 03:00:00
7,chonchi,-42.6128,-73.8092,3.44,86,63,1.23,CL,2024-10-01 03:00:00
8,westport,41.1415,-73.3579,17.25,79,33,3.24,US,2024-10-01 03:00:00
9,dighwara,25.7333,85.0,28.95,87,59,3.67,IN,2024-10-01 03:00:00
10,tazacorte,28.629,-17.9293,22.51,85,71,1.83,ES,2024-10-01 03:00:00
11,cervera,41.67,1.2721,14.59,95,16,2.28,ES,2024-10-01 03:00:00
12,piti village,13.4626,144.6933,30.48,74,45,4.71,GU,2024-10-01 03:00:00
13,invercargill,-46.4,168.35,14.98,59,99,2.12,NZ,2024-10-01 03:00:00
14,puerto natales,-51.7236,-72.4875,2.84,89,85,4.04,CL,2024-10-01 03:00:00
15,eastham,41.8301,-69.9739,15.8,92,92,2.2,US,2024-10-01 03:00:00
16,tiksi,71.6872,128.8694,-4.4,91,100,1.69,RU,2024-10-01 03:00:00
17,pisco,-13.7,-76.2167,16.86,87,33,2.06,PE,2024-10-01 03:00:00
18,edinburgh of the seven seas,-37.0676,-12.3116,12.76,80,8,4.74,SH,2024-10-01 03:00:00
19,port-aux-francais,-49.35,70.2167,5.25,95,100,17.15,TF,2024-10-01 03:00:00
20,port lincoln,-34.7333,135.8667,16.91,67,3,4.91,AU,2024-10-01 03:00:00
21,vadso,70.0744,29.7487,5.56,70,71,8.87,NO,2024-10-01 03:00:00
22,governador dix sept rosado,-5.4589,-37.5208,26.67,55,59,4.72,BR,2024-10-01 03:00:00
23,south hedland,-20.4089,118.5983,31.41,39,0,5.23,AU,2024-10-01 03:00:00
24,anadyr,64.75,177.4833,6.6,91,60,8.72,RU,2024-10-01 03:00:00
25,nova sintra,14.8667,-24.7167,26.57,87,11,3.13,CV,2024-10-01 03:00:00
26,gaiman,-43.2897,-65.4929,5.15,62,64,3.06,AR,2024-10-01 03:00:00
27,guerrero negro,27.9769,-114.0611,21.68,73,64,4.78,MX,2024-10-01 03:00:00
28,waitangi,-43.9535,-176.5597,10.3,75,94,7.87,NZ,2024-10-01 03:00:00
29,sorong,-0.8833,131.25,28.49,73,70,2.7,ID,2024-10-01 03:00:00
30,cabo san lucas,22.8909,-109.9124,27.79,73,32,2.47,MX,2024-10-01 03:00:00
31,flin flon,54.7682,-101.865,6.77,67,76,5.21,CA,2024-10-01 03:00:00
32,kodiak,57.79,-152.4072,9.96,67,47,7.54,US,2024-10-01 03:00:00
33,mariehamn,60.0973,19.9348,10.73,89,6,3.75,AX,2024-10-01 03:00:00
34,namibe,-15.1961,12.1522,16.91,90,45,1.66,AO,2024-10-01 03:00:00
35,palu,-0.8917,119.8707,33.65,72,96,1.37,ID,2024-10-01 03:00:00
36,pulungmasle,15.0102,120.5429,29.48,81,100,4.93,PH,2024-10-01 03:00:00
37,petropavlovsk-kamchatsky,53.0452,158.6483,10.5,74,83,2.9,RU,2024-10-01 03:00:00
38,arkhangel'sk,64.5401,40.5433,2.78,88,27,3.53,RU,2024-10-01 03:00:00
39,badger,64.8,-147.5333,10.32,47,27,2.15,US,2024-10-01 03:00:00
40,albany,42.6001,-73.9662,17.09,74,100,1.86,US,2024-10-01 03:00:00
41,sao vicente,-23.9631,-46.3919,22.37,44,4,1.79,BR,2024-10-01 03:00:00
42,kalymnos,36.95,26.9833,20.43,62,13,9.97,GR,2024-10-01 03:00:00
43,udachny,66.4167,112.4,0.67,99,100,2.44,RU,2024-10-01 03:00:00
44,bardai,11.65,7.2333,22.71,84,46,3.85,NG,2024-10-01 03:00:00
45,blackmans bay,-43.0167,147.3167,13.07,49,37,6.51,AU,2024-10-01 03:00:00
46,wynyard,-41.0,145.7167,14.91,56,30,5.84,AU,2024-10-01 03:00:00
47,inhambane,-23.865,35.3833,21.65,86,90,5.73,MZ,2024-10-01 03:00:00
48,tezu,27.9167,96.1667,29.59,84,90,1.24,IN,2024-10-01 03:00:00
49,port mathurin,-19.6833,63.4167,22.43,77,4,10.04,MU,2024-10-01 03:00:00
50,dadukou,26.5479,101.7054,21.3,82,100,1.55,CN,2024-10-01 03:00:00
51,vorgashor,67.5833,63.95,2.84,74,100,14.53,RU,2024-10-01 03:00:00
52,ushuaia,-54.8,-68.3,-4.24,90,100,1.37,AR,2024-10-01 03:00:00
53,malango,-2.9627,119.9001,28.68,63,100,2.47,ID,2024-10-01 03:00:00
54,dudinka,69.4058,86.1778,3.94,90,100,5.83,RU,2024-10-01 03:00:00
55,palikir - national government center,6.9248,158.1611,29.89,74,86,4.46,FM,2024-10-01 03:00:00
56,makoua,0.0069,15.6333,22.55,96,84,1.18,CG,2024-10-01 03:00:00
57,leh,34.1667,77.5833,9.21,31,0,1.69,IN,2024-10-01 03:00:00
58,grytviken,-54.2811,-36.5092,-2.91,71,40,5.69,GS,2024-10-01 03:00:00
59,puerto ayora,-0.7393,-90.3518,20.19,92,96,3.58,EC,2024-10-01 03:00:00
